"","sampleid","Name.2","Community","Species","replicate","BreakingBag","parent","Location","Experiment","Part_Time0D_17","Part_Time0D_6","Part_Time4M_64","Part_Time7D_rep1_2","Part_Time7D_rep2_2","Part_Time7D_rep3_2","Part_Time7D_rep4_2","replicate.partition","partition","ExpCompact","exp.replicate.partition","exp.partition"
"252","BB17.2",NA,NA,NA,"Rep2",NA,"BB17","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"253","BB17.3",NA,NA,NA,"Rep3",NA,"BB17","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"254","BB17.4",NA,NA,NA,"Rep4",NA,"BB17","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"255","BB18.1",NA,NA,NA,"Rep1",NA,"BB18","BurhamBeeches","7D_rep1",NA,NA,NA,2,NA,NA,NA,"Rep1.Class2","Class2","Final","Final.Rep1.Class2","Final.Class2"
"256","BB18.2",NA,NA,NA,"Rep2",NA,"BB18","BurhamBeeches","7D_rep2",NA,NA,NA,NA,2,NA,NA,"Rep2.Class2","Class2","Final","Final.Rep2.Class2","Final.Class2"
"257","BB18.3",NA,NA,NA,"Rep3",NA,"BB18","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,2,NA,"Rep3.Class2","Class2","Final","Final.Rep3.Class2","Final.Class2"
"258","BB18.4",NA,NA,NA,"Rep4",NA,"BB18","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"259","BB19.1",NA,NA,NA,"Rep1",NA,"BB19","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"260","BB19.2",NA,NA,NA,"Rep2",NA,"BB19","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"261","BB19.3",NA,NA,NA,"Rep3",NA,"BB19","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"262","BB19.4",NA,NA,NA,"Rep4",NA,"BB19","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"263","BB20.1",NA,NA,NA,"Rep1",NA,"BB20","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
