"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","functionInk","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","Set","shared name","Stress","TopologicalCoefficient"
"3.381475667189953","2.0994296304206563E-4","0.2957288765088208","0.0","2","6","22","false","ASV_399","37.5","0","2","0","0.962789442700157","false","0","Both-ASV","ASV_399","782","0.5140845070422535"
"2.963893249607535","0.016035553629998676","0.3373940677966102","0.029411764705882353","17","6","151","false","ASV_38","10.352941176470589","0","17","0","0.9693141679748822","false","0","Both-ASV","ASV_38","34806","0.07764705882352942"
"3.9215070643642074","8.600946275524329E-5","0.25500400320256206","0.0","2","7","30","false","ASV_419","8.5","0","2","0","0.9543514521193093","false","0","Final_ASV","ASV_419","194","0.5"
"3.927786499215071","0.0","0.2545963229416467","0.0","1","7","143","false","ASV_740","18.0","0","1","0","0.9542533359497645","false","0","Final_ASV","ASV_740","0","0.0"
"3.061224489795918","0.0026465243282986746","0.32666666666666666","0.044444444444444446","10","6","110","false","ASV_64","14.4","0","10","0","0.9677933673469388","false","0","Both-ASV","ASV_64","6092","0.12321428571428572"
"3.7456828885400313","0.0","0.26697401508801344","1.0","2","7","96","false","ASV_636","15.5","0","2","0","0.957098704866562","false","0","Final_ASV","ASV_636","0","0.5344827586206896"
"4.425431711145997","0.0","0.2259666548421426","0.0","1","8","75","false","ASV_279","5.0","0","1","0","0.9464776295133438","false","0","Final_ASV","ASV_279","0","0.0"
"3.80690737833595","0.0","0.262680412371134","0.0","1","6","9","false","ASV_992","23.0","0","1","0","0.9561420722135008","false","0","Final_ASV","ASV_992","0","0.0"
"3.5604395604395602","2.6644307218538547E-5","0.2808641975308642","0.0","2","6","9","false","ASV_559","19.5","0","2","0","0.9599931318681318","false","0","Final_ASV","ASV_559","124","0.5606060606060606"
"3.80690737833595","0.0","0.262680412371134","0.0","1","6","9","false","ASV_1134","23.0","0","1","0","0.9561420722135008","false","0","Final_ASV","ASV_1134","0","0.0"
"4.012558869701727","0.0","0.24921752738654146","0.0","1","7","53","false","ASV_662","11.0","0","1","0","0.9529287676609105","false","0","Starting-ASV","ASV_662","0","0.0"
"4.934065934065934","0.0","0.20267260579064586","0.0","1","8","85","false","ASV_710","2.0","0","1","0","0.9385302197802198","false","0","Starting-ASV","ASV_710","0","0.0"
"4.943485086342229","0.0","0.20228644013972688","0.0","1","8","60","false","ASV_1071","5.0","0","1","0","0.9383830455259027","false","0","Final_ASV","ASV_1071","0","0.0"
"4.480376766091052","0.0","0.22319551506657323","0.0","1","7","121","false","ASV_978","9.0","0","1","0","0.9456191130298273","false","0","Starting-ASV","ASV_978","0","0.0"
